DATA LENGTH(steps) :
1245
STEP LENGTH(sec) :
0.010000

PCz,         PEL_Q0,      PEL_Qx,      PEL_Qy,      PEL_Qz,      WST,         RSP,         RSR,         RSY,         REP,         REY,         LSP,         LSR,         LSY,         LEP,         LEY

0.621000     1.000000     0.000000     0.000000     0.000000     -0.021173    0.210138     -0.644758    0.019395     -0.633636    0.000000     0.103365     0.586294     -0.128695    -0.610712    0.000000    
0.621002     1.000000     -0.000032    0.000024     -0.000091    -0.021487    0.209740     -0.644437    0.019247     -0.633548    0.000420     0.103849     0.586607     -0.128335    -0.610633    0.000689    
0.621007     1.000000     -0.000060    0.000046     -0.000140    -0.021792    0.209413     -0.644146    0.019116     -0.633497    0.000722     0.104247     0.586879     -0.128048    -0.610540    0.001296    
0.621012     1.000000     -0.000085    0.000069     -0.000147    -0.022089    0.209158     -0.643885    0.019003     -0.633486    0.000903     0.104556     0.587109     -0.127832    -0.610430    0.001822    
0.621018     1.000000     -0.000107    0.000090     -0.000114    -0.022377    0.208972     -0.643654    0.018909     -0.633511    0.000965     0.104778     0.587301     -0.127692    -0.610307    0.002267    
0.621024     1.000000     -0.000125    0.000111     -0.000038    -0.022658    0.208856     -0.643456    0.018835     -0.633573    0.000906     0.104910     0.587450     -0.127623    -0.610167    0.002634    
0.621031     1.000000     -0.000140    0.000131     0.000078     -0.022928    0.208807     -0.643289    0.018779     -0.633673    0.000729     0.104955     0.587561     -0.127628    -0.610013    0.002924    
0.621039     1.000000     -0.000152    0.000151     0.000236     -0.023190    0.208821     -0.643160    0.018746     -0.633806    0.000439     0.104913     0.587631     -0.127703    -0.609845    0.003143    
0.621047     1.000000     -0.000160    0.000170     0.000435     -0.023443    0.208896     -0.643070    0.018734     -0.633973    0.000037     0.104786     0.587663     -0.127846    -0.609666    0.003296    
0.621056     1.000000     -0.000165    0.000189     0.000675     -0.023686    0.209024     -0.643026    0.018746     -0.634170    -0.000470    0.104575     0.587658     -0.128056    -0.609475    0.003391    
0.621066     1.000000     -0.000166    0.000207     0.000954     -0.023916    0.209201     -0.643032    0.018777     -0.634394    -0.001073    0.104280     0.587615     -0.128330    -0.609274    0.003438    
0.621075     0.999999     -0.000164    0.000223     0.001274     -0.024136    0.209416     -0.643096    0.018825     -0.634643    -0.001763    0.103907     0.587538     -0.128663    -0.609068    0.003446    
0.621086     0.999999     -0.000158    0.000239     0.001632     -0.024343    0.209660     -0.643225    0.018887     -0.634914    -0.002523    0.103459     0.587428     -0.129046    -0.608861    0.003428    
0.621096     0.999998     -0.000149    0.000254     0.002027     -0.024535    0.209923     -0.643428    0.018950     -0.635201    -0.003337    0.102939     0.587287     -0.129481    -0.608654    0.003395    
0.621107     0.999997     -0.000135    0.000268     0.002460     -0.024711    0.210194     -0.643713    0.019004     -0.635500    -0.004181    0.102354     0.587118     -0.129956    -0.608457    0.003357    
0.621118     0.999996     -0.000118    0.000280     0.002927     -0.024868    0.210458     -0.644090    0.019038     -0.635809    -0.005035    0.101709     0.586926     -0.130467    -0.608272    0.003324    
0.621129     0.999994     -0.000097    0.000291     0.003427     -0.025006    0.210703     -0.644568    0.019035     -0.636121    -0.005873    0.101011     0.586711     -0.131004    -0.608108    0.003307    
0.621139     0.999992     -0.000073    0.000299     0.003959     -0.025121    0.210918     -0.645155    0.018975     -0.636432    -0.006673    0.100266     0.586480     -0.131562    -0.607971    0.003311    
0.621150     0.999990     -0.000046    0.000306     0.004519     -0.025209    0.211088     -0.645860    0.018843     -0.636734    -0.007420    0.099483     0.586234     -0.132131    -0.607868    0.003341    
0.621160     0.999987     -0.000015    0.000309     0.005105     -0.025269    0.211202     -0.646691    0.018619     -0.637025    -0.008098    0.098671     0.585983     -0.132710    -0.607809    0.003399    
0.621169     0.999984     0.000019     0.000309     0.005714     -0.025298    0.211248     -0.647653    0.018290     -0.637297    -0.008704    0.097837     0.585726     -0.133287    -0.607797    0.003487    
0.621178     0.999980     0.000056     0.000306     0.006344     -0.025292    0.211215     -0.648752    0.017837     -0.637544    -0.009231    0.096989     0.585472     -0.133861    -0.607843    0.003603    
0.621187     0.999976     0.000095     0.000298     0.006992     -0.025247    0.211097     -0.649992    0.017247     -0.637764    -0.009683    0.096138     0.585222     -0.134423    -0.607950    0.003744    
0.621194     0.999971     0.000136     0.000286     0.007653     -0.025160    0.210882     -0.651376    0.016511     -0.637949    -0.010064    0.095291     0.584985     -0.134974    -0.608124    0.003910    
0.621202     0.999965     0.000179     0.000269     0.008325     -0.025028    0.210566     -0.652902    0.015616     -0.638098    -0.010378    0.094456     0.584764     -0.135510    -0.608366    0.004096    
0.621208     0.999959     0.000222     0.000247     0.009004     -0.024846    0.210143     -0.654574    0.014563     -0.638207    -0.010636    0.093643     0.584563     -0.136027    -0.608678    0.004301    
0.621214     0.999953     0.000267     0.000219     0.009687     -0.024613    0.209607     -0.656385    0.013345     -0.638274    -0.010841    0.092857     0.584385     -0.136523    -0.609054    0.004522    
0.621219     0.999946     0.000311     0.000184     0.010371     -0.024323    0.208959     -0.658333    0.011963     -0.638299    -0.011008    0.092105     0.584234     -0.136996    -0.609495    0.004755    
0.621223     0.999939     0.000355     0.000143     0.011052     -0.023974    0.208194     -0.660414    0.010424     -0.638280    -0.011146    0.091392     0.584114     -0.137449    -0.609991    0.005003    
0.621227     0.999931     0.000398     0.000096     0.011729     -0.023565    0.207314     -0.662618    0.008730     -0.638221    -0.011268    0.090724     0.584025     -0.137873    -0.610534    0.005261    
0.621230     0.999923     0.000439     0.000042     0.012397     -0.023089    0.206318     -0.664940    0.006893     -0.638121    -0.011379    0.090104     0.583968     -0.138272    -0.611114    0.005531    
0.621233     0.999915     0.000478     -0.000019    0.013055     -0.022551    0.205210     -0.667370    0.004926     -0.637987    -0.011492    0.089535     0.583945     -0.138641    -0.611719    0.005808    
0.621236     0.999906     0.000513     -0.000087    0.013700     -0.021944    0.203993     -0.669898    0.002844     -0.637819    -0.011613    0.089019     0.583955     -0.138977    -0.612332    0.006091    
0.621238     0.999897     0.000545     -0.000162    0.014332     -0.021272    0.202670     -0.672511    0.000658     -0.637621    -0.011748    0.088558     0.583995     -0.139275    -0.612942    0.006378    
0.621241     0.999888     0.000574     -0.000243    0.014949     -0.020531    0.201249     -0.675198    -0.001615    -0.637400    -0.011901    0.088151     0.584067     -0.139536    -0.613533    0.006667    
0.621243     0.999879     0.000597     -0.000330    0.015549     -0.019725    0.199738     -0.677943    -0.003961    -0.637160    -0.012074    0.087801     0.584166     -0.139752    -0.614091    0.006953    
0.621245     0.999870     0.000617     -0.000423    0.016133     -0.018853    0.198141     -0.680732    -0.006363    -0.636904    -0.012270    0.087507     0.584290     -0.139923    -0.614603    0.007232    
0.621247     0.999860     0.000631     -0.000522    0.016700     -0.017918    0.196472     -0.683547    -0.008809    -0.636640    -0.012490    0.087266     0.584434     -0.140046    -0.615057    0.007497    
0.621250     0.999851     0.000639     -0.000626    0.017250     -0.016920    0.194741     -0.686374    -0.011282    -0.636373    -0.012737    0.087078     0.584596     -0.140120    -0.615442    0.007746    
0.621252     0.999841     0.000643     -0.000735    0.017783     -0.015865    0.192959     -0.689192    -0.013770    -0.636108    -0.013011    0.086944     0.584769     -0.140146    -0.615751    0.007973    
0.621254     0.999832     0.000642     -0.000847    0.018302     -0.014753    0.191142     -0.691985    -0.016257    -0.635852    -0.013318    0.086861     0.584950     -0.140128    -0.615978    0.008178    
0.621256     0.999823     0.000635     -0.000962    0.018805     -0.013588    0.189302     -0.694730    -0.018736    -0.635609    -0.013657    0.086828     0.585134     -0.140068    -0.616118    0.008365    
0.621259     0.999813     0.000625     -0.001079    0.019295     -0.012376    0.187455     -0.697412    -0.021190    -0.635387    -0.014036    0.086844     0.585317     -0.139972    -0.616168    0.008535    
0.621260     0.999804     0.000612     -0.001198    0.019775     -0.011120    0.185618     -0.700010    -0.023608    -0.635188    -0.014455    0.086907     0.585496     -0.139847    -0.616126    0.008697    
0.621262     0.999794     0.000596     -0.001317    0.020244     -0.009823    0.183805     -0.702507    -0.025976    -0.635019    -0.014920    0.087014     0.585664     -0.139699    -0.615991    0.008858    
0.621263     0.999784     0.000577     -0.001436    0.020706     -0.008493    0.182035     -0.704882    -0.028288    -0.634883    -0.015434    0.087166     0.585821     -0.139537    -0.615768    0.009027    
0.621263     0.999775     0.000557     -0.001553    0.021163     -0.007133    0.180324     -0.707121    -0.030527    -0.634784    -0.016000    0.087358     0.585962     -0.139372    -0.615459    0.009212    
0.621263     0.999765     0.000537     -0.001668    0.021618     -0.005750    0.178687     -0.709206    -0.032685    -0.634722    -0.016623    0.087587     0.586085     -0.139211    -0.615066    0.009416    
0.621262     0.999755     0.000518     -0.001778    0.022074     -0.004351    0.177140     -0.711127    -0.034745    -0.634701    -0.017307    0.087852     0.586186     -0.139061    -0.614597    0.009644    
0.621260     0.999744     0.000498     -0.001885    0.022533     -0.002940    0.175697     -0.712872    -0.036699    -0.634719    -0.018058    0.088147     0.586265     -0.138937    -0.614058    0.009893    
0.621257     0.999733     0.000482     -0.001985    0.022998     -0.001523    0.174375     -0.714432    -0.038542    -0.634780    -0.018880    0.088468     0.586319     -0.138845    -0.613454    0.010158    
0.621253     0.999722     0.000469     -0.002079    0.023474     -0.000109    0.173180     -0.715804    -0.040259    -0.634878    -0.019782    0.088809     0.586345     -0.138794    -0.612794    0.010434    
0.621247     0.999710     0.000459     -0.002165    0.023961     0.001300     0.172128     -0.716988    -0.041851    -0.635018    -0.020771    0.089163     0.586341     -0.138794    -0.612082    0.010707    
0.621241     0.999698     0.000454     -0.002243    0.024464     0.002696     0.171226     -0.717989    -0.043314    -0.635197    -0.021855    0.089523     0.586307     -0.138850    -0.611327    0.010967    
0.621234     0.999685     0.000454     -0.002311    0.024985     0.004073     0.170478     -0.718814    -0.044653    -0.635416    -0.023043    0.089882     0.586240     -0.138971    -0.610533    0.011199    
0.621226     0.999671     0.000461     -0.002370    0.025526     0.005427     0.169889     -0.719479    -0.045870    -0.635679    -0.024350    0.090231     0.586139     -0.139158    -0.609705    0.011391    
0.621217     0.999657     0.000474     -0.002418    0.026090     0.006753     0.169460     -0.720003    -0.046986    -0.635989    -0.025790    0.090564     0.586001     -0.139414    -0.608851    0.011530    
0.621207     0.999641     0.000493     -0.002455    0.026677     0.008048     0.169185     -0.720412    -0.048013    -0.636353    -0.027379    0.090872     0.585828     -0.139742    -0.607972    0.011612    
0.621197     0.999624     0.000520     -0.002480    0.027290     0.009306     0.169060     -0.720737    -0.048979    -0.636781    -0.029137    0.091149     0.585618     -0.140139    -0.607075    0.011631    
